
x-coordinate,Character,y-coordinate
27,█,0
52,█,2
17,█,6
44,░,3
64,█,5
46,█,1
2,░,1
21,█,3
45,█,1
85,█,5
52,█,0
47,░,1
52,█,5
67,█,0
79,░,1
15,█,3
2,░,4
34,█,3
18,░,0
62,░,6
82,█,0
16,░,3
87,░,2
83,█,3
77,█,1
84,█,3
43,█,1
42,█,5
58,█,6
30,█,5
66,░,3
7,█,0
0,█,4
23,█,1
85,█,1
43,█,2
15,█,2
77,█,2
54,█,0
13,█,6
53,█,4
64,█,6
52,█,3
46,█,4
53,█,3
66,█,6
65,█,4
48,█,4
64,█,1
0,█,6
33,█,6
5,█,1
27,█,6
60,░,3
82,█,6
49,░,4
87,░,1
37,█,0
85,░,0
36,█,1
60,█,6
35,█,2
26,█,6
40,█,3
1,█,1
20,█,4
59,█,6
8,█,6
31,░,1
4,█,2
79,░,2
86,█,2
35,█,1
16,░,4
52,█,4
48,░,3
1,█,2
74,█,2
53,█,2
66,█,0
43,█,3
57,█,6
45,█,2
71,█,6
82,█,3
77,█,3
38,█,1
30,░,0
57,█,3
40,█,5
49,█,6
65,█,3
68,█,6
65,█,1
24,█,0
53,█,6
31,░,5
0,█,1
52,█,1
86,█,4
48,█,5
54,█,3
65,█,5
72,█,5
21,█,4
42,█,3
81,█,0
72,░,6
73,█,4
15,█,6
60,█,0
75,░,3
69,█,6
80
